timestamp,cpu_percent,memory_mb
2025-12-08 21:57:51,25.0,1225.68
2025-12-08 21:58:02,20.3,1204.64
2025-12-08 21:58:12,50.4,1145.05
2025-12-08 21:58:22,71.5,1129.08
2025-12-08 21:58:32,61.7,1159.68
2025-12-08 21:58:43,47.6,1107.20
2025-12-08 21:58:53,33.5,1040.59
2025-12-08 21:59:03,42.0,961.12
2025-12-08 21:59:14,44.2,1043.96
2025-12-08 21:59:24,43.4,1179.42
2025-12-08 21:59:34,18.0,1208.17
2025-12-08 21:59:44,33.1,1225.06
2025-12-08 21:59:55,20.5,1391.82
2025-12-08 22:00:05,35.0,1380.59
2025-12-08 22:00:15,49.3,1346.68
2025-12-08 22:00:25,61.9,1294.75
2025-12-08 22:00:35,21.7,1335.49
2025-12-08 22:00:45,42.1,1318.68
2025-12-08 22:00:55,18.9,1272.09
2025-12-08 22:01:05,37.8,1273.09
2025-12-08 22:01:15,63.6,1226.78
2025-12-08 22:01:25,42.3,1327.80
2025-12-08 22:01:36,41.3,1379.13
2025-12-08 22:01:46,42.0,1315.79
2025-12-08 22:01:56,79.1,1318.43
2025-12-08 22:02:06,22.8,1385.20
2025-12-08 22:02:16,17.4,1335.35
2025-12-08 22:02:26,15.9,1402.83
2025-12-08 22:02:36,16.5,1280.84
2025-12-08 22:02:46,26.8,1345.76
2025-12-08 22:02:56,18.2,1289.73
2025-12-08 22:03:06,17.8,1387.86
2025-12-08 22:03:16,21.7,1484.90
2025-12-08 22:03:26,17.2,1354.61
2025-12-08 22:03:37,19.3,1441.95
2025-12-08 22:03:47,62.7,1223.45
2025-12-08 22:03:57,100.0,1269.81
2025-12-08 22:04:07,26.9,1389.41
2025-12-08 22:04:18,32.3,1277.64
2025-12-08 22:04:28,27.1,1348.92
2025-12-08 22:04:38,26.9,1425.23
2025-12-08 22:04:48,48.3,1332.46
2025-12-08 22:04:58,98.0,1401.98
2025-12-08 22:05:08,59.3,1428.23
2025-12-08 22:05:18,70.8,1519.18
2025-12-08 22:05:29,100.0,1281.07
2025-12-08 22:05:40,54.4,1348.59
2025-12-08 22:05:50,18.6,1384.34
2025-12-08 22:06:00,22.2,1396.47
2025-12-08 22:06:10,16.5,1407.82
2025-12-08 22:06:20,19.0,1486.72
2025-12-08 22:06:30,16.5,1498.84
2025-12-08 22:06:40,19.5,1485.94
2025-12-08 22:06:50,19.5,1456.88
2025-12-08 22:07:00,17.1,1490.62
2025-12-08 22:07:10,24.2,1681.72
2025-12-08 22:07:20,17.5,1619.14
2025-12-08 22:07:30,20.6,1621.80
2025-12-08 22:07:40,16.6,1616.83
2025-12-08 22:07:51,16.3,1601.39
2025-12-08 22:08:01,20.3,1796.79
2025-12-08 22:08:11,28.7,1720.29
2025-12-08 22:08:21,19.6,1754.00
2025-12-08 22:08:31,20.5,1888.83
2025-12-08 22:08:42,17.2,1879.05
2025-12-08 22:08:53,100.0,1669.01
2025-12-08 22:09:08,100.0,1509.20
2025-12-08 22:09:18,37.0,478.11
2025-12-08 22:09:30,37.2,1644.39
2025-12-08 22:09:40,30.5,1712.02
2025-12-08 22:09:50,21.2,1719.46
2025-12-08 22:10:01,20.0,1692.70
2025-12-08 22:10:11,18.0,1869.47
2025-12-08 22:10:21,19.5,1807.93
2025-12-08 22:10:31,21.9,1751.03
2025-12-08 22:10:41,19.5,1897.02
2025-12-08 22:10:51,17.8,1821.93
2025-12-08 22:11:01,24.2,1954.84
2025-12-08 22:11:13,30.1,1926.40
2025-12-08 22:11:23,30.1,1903.27
2025-12-08 22:11:34,17.7,1851.55
2025-12-08 22:11:44,23.4,2028.02
2025-12-08 22:11:54,16.9,1969.50
2025-12-08 22:12:04,43.4,2146.25
2025-12-08 22:12:14,23.3,2021.88
2025-12-08 22:12:24,19.1,2190.41
2025-12-08 22:12:35,17.5,2123.05
2025-12-08 22:12:45,23.8,2087.50
2025-12-08 22:12:55,24.9,2284.41
2025-12-08 22:13:06,30.3,2149.42
2025-12-08 22:13:17,16.9,2105.99
2025-12-08 22:13:27,26.9,2260.02
2025-12-08 22:13:37,18.5,2226.50
2025-12-08 22:13:47,21.6,2398.86
2025-12-08 22:13:57,16.8,2091.32
2025-12-08 22:14:07,16.2,2084.14
2025-12-08 22:14:17,17.3,2201.56
2025-12-08 22:14:27,18.3,2139.62
2025-12-08 22:14:37,18.7,2316.82
2025-12-08 22:14:48,17.5,2252.23
2025-12-08 22:14:58,18.4,2146.33
2025-12-08 22:15:08,21.7,2288.26
2025-12-08 22:15:18,18.7,2196.91
2025-12-08 22:15:29,18.6,2337.48
2025-12-08 22:15:39,20.2,2304.63
2025-12-08 22:15:49,22.7,2502.51
2025-12-08 22:15:59,17.3,2415.82
2025-12-08 22:16:09,20.1,2520.04
2025-12-08 22:16:19,19.7,2429.18
2025-12-08 22:16:29,20.5,2370.33
2025-12-08 22:16:39,19.9,2544.53
2025-12-08 22:16:49,17.0,2316.35
2025-12-08 22:16:59,15.6,2458.00
2025-12-08 22:17:10,16.6,2330.84
2025-12-08 22:17:20,16.9,2496.30
2025-12-08 22:17:30,16.9,2410.11
2025-12-08 22:17:40,17.8,2558.22
2025-12-08 22:17:50,18.0,2462.21
2025-12-08 22:18:00,20.2,2624.16
2025-12-08 22:18:10,49.1,2488.75
2025-12-08 22:18:20,62.8,2402.61
2025-12-08 22:19:57,100.0,2212.63
2025-12-08 22:20:07,26.8,986.38
2025-12-08 22:20:18,36.4,2280.34
2025-12-08 22:20:28,31.2,2372.67
2025-12-08 22:20:38,19.5,2507.93
2025-12-08 22:20:50,24.7,2340.48
2025-12-08 22:21:01,18.9,2381.27
2025-12-08 22:21:11,24.3,2406.61
2025-12-08 22:21:21,22.2,2457.00
2025-12-08 22:21:31,19.5,2512.57
2025-12-08 22:21:41,21.2,2578.29
2025-12-08 22:21:51,18.6,2643.86
2025-12-08 22:22:01,19.7,2729.06
2025-12-08 22:22:11,19.4,2739.89
2025-12-08 22:22:22,20.3,2795.95
2025-12-08 22:22:32,19.5,2850.01
2025-12-08 22:22:42,19.5,2853.20
2025-12-08 22:22:52,36.9,2760.62
2025-12-08 22:23:03,46.3,2786.45
2025-12-08 22:23:13,60.1,2330.11
2025-12-08 22:24:00,58.9,1048.96
2025-12-08 22:24:11,29.8,1089.49
2025-12-08 22:25:17,24.7,2745.40
2025-12-08 22:25:27,29.6,2815.97
2025-12-08 22:25:37,21.3,2585.62
2025-12-08 22:25:47,37.8,2301.05
2025-12-08 22:25:58,41.8,2393.20
2025-12-08 22:26:27,46.8,2931.13
2025-12-08 22:26:38,56.8,2870.31
2025-12-08 22:26:48,25.2,2489.67
2025-12-08 22:26:58,21.1,2370.95
2025-12-08 22:27:08,72.6,2121.44
2025-12-08 22:27:18,33.8,2189.73
2025-12-08 22:28:14,27.0,2845.23
2025-12-08 22:28:24,33.4,2806.07
2025-12-08 22:28:35,28.0,2603.84
2025-12-08 22:28:45,24.2,2590.71
2025-12-08 22:28:55,27.2,2632.23
2025-12-08 22:29:05,19.2,2309.83
2025-12-08 22:29:15,24.7,2372.59
2025-12-08 22:29:25,28.1,2296.54
2025-12-08 22:30:09,26.1,2897.13
2025-12-08 22:30:19,62.0,2509.85
2025-12-08 22:30:29,65.2,2107.41
2025-12-08 22:30:40,37.8,1763.48
2025-12-08 22:30:50,31.3,1802.07
2025-12-08 22:31:00,26.4,1983.44
